step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,rcs_phase_with_place
53,0.07457149028778076,0.5,0.0,0.0,-3.25974440574646,-0.00015591451665386558,-0.07751207053661346,0.0,-0.3716335892677307,0.0,0.1445329189300537,0.929027795791626,0.0,-1.1359922885894775,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0020937961526215076,0.0,34.815887451171875,0.15000000596046448,0.02323080599308014
54,0.4067996144294739,0.5,0.0,0.0,-3.2411131858825684,-0.0003233102324884385,-0.47867265343666077,0.0,-0.3756110668182373,0.0,0.22607256472110748,0.929027795791626,0.0,-0.9682392477989197,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.000139122930704616,0.0,34.40550994873047,0.15000000596046448,0.022577909752726555
55,0.5411959290504456,0.5,0.0,0.0,-3.218216896057129,-0.0001704948372207582,-0.10718239843845367,0.0,-0.37550660967826843,0.0,0.3801345229148865,0.929027795791626,0.0,-0.829807460308075,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0002822348033078015,0.0,33.62112045288086,0.15000000596046448,0.021439552307128906
56,0.42683225870132446,0.5,0.0,0.0,-3.2237801551818848,-0.000338696496328339,-0.20465850830078125,0.0,-0.373211145401001,0.0,0.4916529655456543,0.929027795791626,0.0,-0.708136260509491,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.00012661464279517531,0.0,31.905454635620117,0.15000000596046448,0.020120251923799515
57,0.36289122700691223,0.5,0.0,0.0,-3.30743145942688,-0.0003127190575469285,-0.3209092915058136,0.0,-0.37086814641952515,0.0,0.47593382000923157,0.929027795791626,0.0,-0.5920491218566895,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-1.0901065252255648e-05,0.0,27.338802337646484,0.15000000596046448,0.017274659126996994
58,0.4283261001110077,0.5,0.0,0.0,-3.231865882873535,-7.009120599832386e-05,-0.38634783029556274,0.0,-0.37261125445365906,0.0,0.4511433243751526,0.929027795791626,0.0,-0.48149392008781433,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-5.732878344133496e-05,0.0,13.147208213806152,0.15000000596046448,0.00826587900519371
59,0.2873726189136505,0.5,0.0,0.0,-3.2084267139434814,-5.6635770306456834e-05,-0.34017181396484375,0.0,-0.3752923011779785,0.0,0.42634549736976624,0.929027795791626,0.0,-0.38129252195358276,0.0,-5.073919296264648,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.0011604514438658953,0.0,-13.147147178649902,0.15000000596046448,-0.00786641426384449
60,0.0383865125477314,0.5,0.0,0.0,-3.2105560302734375,-0.00044512157910503447,-0.027103273198008537,0.0,-0.37495869398117065,0.0,0.2967377305030823,0.929027795791626,0.0,-0.3069322407245636,0.0,-2.136477470397949,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.06250670552253723,0.0,27.338781356811523,0.15000000596046448,0.1896800845861435
61,0.013981022872030735,0.5,0.0,0.0,-3.235196590423584,-0.0005333158187568188,-0.003396404907107353,0.0,-0.37491485476493835,0.0,0.0904519259929657,0.929027795791626,0.0,-0.2243058979511261,0.0,-2.136477470397949,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.1343711018562317,0.0,31.90544891357422,0.15000000596046448,0.17527775466442108
62,0.023784171789884567,0.5,0.0,0.0,-3.205502510070801,-0.0026256386190652847,-0.0031962215434759855,0.0,-0.37500250339508057,0.0,-0.04512561857700348,0.929027795791626,0.0,-0.1521729677915573,0.0,-2.136477470397949,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.11258012056350708,0.0,33.62111282348633,0.15000000596046448,0.14579392969608307
63,0.09531725198030472,0.5,0.0,0.0,-3.2049152851104736,-0.0006960846367292106,-0.008984295651316643,0.0,-0.3750142753124237,0.0,0.002377699362114072,0.929027795791626,0.0,-0.09932977706193924,0.0,-2.136477470397949,2.0,0.0,0.0,4.0,0.0,0.0,0.0,-0.09759922325611115,0.0,34.40550994873047,0.15000000596046448,0.11899783462285995
