step,track_lin_vel_xy_exp,track_ang_vel_z_exp,lin_vel_z_l2,ang_vel_xy_l2,dof_torques_l2,dof_acc_l2,action_rate_l2,flat_orientation_l2,dof_pos_limits,termination_penalty,curr_vel,cmd_vel_given,track_lin_vel_xy,joint_angles,joint_symmetry_reward,stride_consistency,torso_orientation,phase_contact,phase_contact_per_cycle,alternation_contact,progressive_step,foot_cycle_sym,symmetric_foot_airtime,feet_no_slip_condition,com_step_reward,paper_cycle_reward,alive,rcs_phase_with_place
35,0.0036437518429011106,0.5,0.0,0.0,-3.2115650177001953,-0.0006093679112382233,-0.7005826234817505,0.0,-0.7490122318267822,0.0,-2.8490756628918312e-11,-1.4584844443277234e-10,0.0,-0.1282254159450531,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-0.00765565549954772,0.0,33.62112045288086,0.15000000596046448,7.6911115646362305
36,7.034911686787382e-05,0.5,0.0,0.0,-3.274026870727539,-0.0009881133446469903,-0.9954199194908142,0.0,-0.749663233757019,0.0,-1.8646272026412447e-11,-1.4584844443277234e-10,0.0,-0.14324691891670227,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,-9.784444955585059e-06,0.0,31.905454635620117,0.15000000596046448,7.294383525848389
37,1.4707999071106315e-05,0.5,0.0,0.0,-3.207364320755005,-0.001467290916480124,-1.233140230178833,0.0,-0.39264950156211853,0.0,1.575831262354277e-12,-1.4584844443277234e-10,0.0,-0.13462823629379272,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
38,1.4397780432773288e-05,0.5,0.0,0.0,-3.232421398162842,-0.0005536967655643821,-0.6261103749275208,0.0,-0.3748778998851776,0.0,1.73339675946238e-11,-1.4584844443277234e-10,0.0,-0.14131422340869904,0.0,-0.3400929272174835,0.0,0.0,0.0,4.0,-5.856625556945801,0.0,0.0,0.0,0.0,0.0,0.15000000596046448,0.0
39,0.00010285445023328066,0.5,0.0,0.0,-3.204739809036255,-0.0046554855071008205,-0.6159347891807556,0.0,-0.37476974725723267,0.0,1.641932076412722e-11,-1.4584844443277234e-10,0.0,-0.16565373539924622,0.0,-0.2802770137786865,0.0,0.0,0.0,-19.999998092651367,-5.856625556945801,0.0,0.0,-0.1998075246810913,0.0,-13.14715576171875,0.15000000596046448,-0.009297513402998447
40,0.00013311687507666647,0.5,0.0,0.0,-3.209512948989868,-0.001251265755854547,-0.6566932201385498,0.0,-0.37488505244255066,0.0,9.65005419323317e-12,-1.4584844443277234e-10,0.0,-0.20063142478466034,0.0,-0.2802770137786865,0.0,0.0,0.0,-19.999998092651367,-5.856625556945801,0.0,0.0,-0.25251054763793945,0.0,-27.338787078857422,0.15000000596046448,-0.013874360360205173
41,7.62337222113274e-05,0.5,0.0,0.0,-3.224027156829834,-9.469962969888002e-05,-0.42211422324180603,0.0,-0.37303292751312256,0.0,5.540411011917268e-12,-1.4584844443277234e-10,0.0,-0.2463090717792511,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0006387473549693823,0.0,31.90545082092285,0.15000000596046448,0.023328861221671104
42,2.222687180619687e-05,0.5,0.0,0.0,-3.2385880947113037,-0.0001382443297188729,-0.20479042828083038,0.0,-0.37280622124671936,0.0,9.645472788533116e-12,-1.4584844443277234e-10,0.0,-0.31037387251853943,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-4.527270357357338e-05,0.0,33.62111282348633,0.15000000596046448,0.024510666728019714
43,8.154948773153592e-06,0.5,0.0,0.0,-3.234123706817627,-0.0001816219592001289,-0.04760865494608879,0.0,-0.37305834889411926,0.0,1.7150163234003202e-11,-1.4584844443277234e-10,0.0,-0.38278883695602417,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0010962429223582149,0.0,34.40550994873047,0.15000000596046448,0.025593914091587067
44,1.7707663573673926e-05,0.5,0.0,0.0,-3.227630615234375,-0.00028289161855354905,-0.09704325348138809,0.0,-0.37342512607574463,0.0,2.132721430014861e-11,-1.4584844443277234e-10,0.0,-0.4773142337799072,0.0,-1.7710927724838257,0.0,0.0,0.0,4.0,-13.671403884887695,0.0,0.0,-0.0009166683303192258,0.0,34.815887451171875,0.15000000596046448,0.026549192145466805
